title,price
"Rogue Legacy 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Inscryption (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
Deus Ex: Mankind Divided (Game),"Rp 349,000"
"Killing Floor 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Lonely Mountains: Downhill (Simplified Chinese, English, Korean, Japanese)","Rp 349,000"
"Ratchet & Clank: Rift Apart (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 349,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 349,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 349,000"
"Hundred Days - Winemaking Simulator (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Carto (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Dodgeball Academia (Simplified Chinese, English, Japanese)","Rp 349,000"
"The Wild at Heart (Simplified Chinese, English, Korean, Japanese)","Rp 349,000"
Thief (Game),"Rp 349,000"
"MX vs ATV Legends (Simplified Chinese, English, Korean, Japanese)","Rp 349,000"
"HUMANITY (English, Japanese)","Rp 349,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
"UNCHARTED: Legacy of Thieves Collection (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 349,000"
"ELEX II PS4 & PS5 (Simplified Chinese, English, Japanese)","Rp 349,000"
"Conan Exiles (Simplified Chinese, English, Korean)","Rp 349,000"
"Kena: Bridge of Spirits PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 349,000"
Dishonored 2 (English/Chinese Ver.),"Rp 349,000"
TOMB RAIDER DEFINITIVE EDITION full game (English/Chinese/Korean Ver.),"Rp 349,000"
"DOOM Eternal Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 349,000"
"Riders Republic PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 589,000"
Wolfenstein® II: The New Colossus™ (English/Chinese Ver.),"Rp 589,000"
"Tchia (PS4 & PS5) (Simplified Chinese, English, Korean, Japanese)","Rp 589,000"
The Evil Within 2 (English/Chinese/Korean Ver.),"Rp 589,000"
Dishonored®: Death of the Outsider™ (English/Chinese Ver.),"Rp 589,000"
Wolfenstein: Youngblood (English/Chinese/Korean Ver.),"Rp 589,000"
"Thymesia (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 589,000"
"Rune Factory 4 Special (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 589,000"
"STORY OF SEASONS: Friends of Mineral Town (Simplified Chinese, Korean, Traditional Chinese)","Rp 589,000"
"STORY OF SEASONS: Pioneers of Olive Town (Simplified Chinese, Korean, Traditional Chinese)","Rp 589,000"
"Soundfall (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 589,000"
"Soundfall (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 589,000"
"Ghostwire: Tokyo (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 589,000"
"Tom Clancy’s Rainbow Six Extraction PS4 & PS5 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 589,000"
The Evil Within (Chinese Ver.),"Rp 589,000"
Wolfenstein: The Old Blood (English),"Rp 589,000"
"Bassmaster® Fishing PS4™ and PS5™ (Simplified Chinese, English, Japanese)","Rp 589,000"
"Life is Strange: True Colors PS4 & PS5 (Simplified Chinese, English, Japanese)","Rp 589,000"
"The Quarry for PS4™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 589,000"
"The Quarry for PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 589,000"
"Outer Wilds (Simplified Chinese, English, Korean, Japanese)","Rp 589,000"
"SCARLET NEXUS PS4 & PS5 (English, Japanese)","Rp 589,000"
"Borderlands 3 PS4™ &  PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 589,000"
"Sackboy: A Big Adventure PS4 & PS5 (English, Korean, Traditional Chinese)","Rp 589,000"
Life is Strange 2 Complete Season (English),"Rp 279,000"
"Back 4 Blood: Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
DRAGON BALL FighterZ (English),"Rp 279,000"
"Devil May Cry 5 Special Edition (English, Japanese)","Rp 279,000"
"Immortals Fenyx Rising - Digital Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
"Untitled Goose Game (Simplified Chinese, English, Korean, Japanese)","Rp 279,000"
FINAL FANTASY TYPE-0 HD (Chinese/Korean Ver.),"Rp 279,000"
"NEO: The World Ends with You (English, Japanese)","Rp 279,000"
"Devil May Cry 5 (English, Japanese)","Rp 279,000"
Life is Strange Complete Season (English),"Rp 279,000"
LEGO® Batman™ 3: Beyond Gotham - PlayStation®Hits (English Ver.),"Rp 279,000"
"Far Cry 5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 279,000"
TEKKEN 7 (English),"Rp 279,000"
"Far Cry Primal - Digital Standard Edition PlayStation®Hits (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 279,000"
EARTH DEFENSE FORCE 5 (English/Chinese/Korean Ver.),"Rp 279,000"
"Far Cry New Dawn - Digital Standard Edition (Simplified Chinese, English, Korean)","Rp 279,000"
Street Fighter V: Champion Edition (Game),"Rp 279,000"
"Haven (Simplified Chinese, English, Japanese)","Rp 279,000"
RAGE 2 (English/Chinese/Korean Ver.),"Rp 279,000"
CODE VEIN (English),"Rp 279,000"
"Journey To The Savage Planet: Employee Of The Month (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 279,000"
Middle-earth™: Shadow of Mordor™ (English/Chinese/Korean Ver.),"Rp 279,000"
MEGA DIMENSION NEPTUNE VII (Japanese Ver.),"Rp 279,000"
Ryu Ga Gotoku 7: Hikari To Yami No Yukue (Chinese/Japanese Ver.),"Rp 279,000"
Ryu Ga Gotoku 6 Inochino Uta (Chinese Ver.),"Rp 351,120"
"Tom Clancy's Rainbow Six Siege (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 351,120"
LittleBigPlanet™ 3 PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 351,120"
I Am Setsuna (English Ver.),"Rp 351,120"
"JETT: The Far Shore + Given Time (English, Japanese)","Rp 351,120"
KINGDOM HEARTS HD -1.5+2.5 ReMIX- (English Ver.),"Rp 351,120"
KINGDOM HEARTS HD 2.8 FINAL CHAPTER PROLOGUE (English),"Rp 351,120"
KINGDOM HEARTS III (Chinese/Korean Ver.),"Rp 351,120"
Erica (English),"Rp 351,120"
"DRAGON QUEST XI S: Echoes of an Elusive Age – Definitive Edition (Simplified Chinese, Korean, Traditional Chinese)","Rp 351,120"
Tom Clancy's The Division® 2 (English/Chinese/Korean/Japanese Ver.),"Rp 351,120"
"Assassin's Creed Odyssey - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 351,120"
DRAGON QUEST BUILDERS 2 (Chinese/Korean Ver.),"Rp 351,120"
DRAGONQUEST HEROES II Futago no Ou to Yogen no Owari (Chinese/Korean Ver.),"Rp 351,120"
"The Elder Scrolls V: Skyrim Special Edition - PS5 & PS4 (Simplified Chinese, English, Traditional Chinese)","Rp 351,120"
JUDGE EYES: wills of death New Price Edition (Chinese Ver.),"Rp 351,120"
Adventure Time Pirates of the Enchiridion (English),"Rp 351,120"
"Spiritfarer®: Farewell Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 351,120"
"Stray (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 351,120"
"The Dark Pictures Anthology: Little Hope PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 351,120"
"The Dark Pictures Anthology: Little Hope PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 351,120"
ODDWORLD: NEW 'N' TASTY full game (English Ver.),"Rp 351,120"
"What Remains of Edith Finch (Simplified Chinese, English, Korean, Japanese)","Rp 351,120"
"Mortal Shell (Simplified Chinese, English, Korean, Japanese)","Rp 351,120"
"Yakuza: Like a Dragon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 271,660"
The Pedestrian (English),"Rp 271,660"
INSIDE (English/Chinese/Korean Ver.),"Rp 271,660"
Ryu Ga Gotoku KIWAMI (Chinese Ver.),"Rp 271,660"
Ryu Ga Gotoku KIWAMI2 (Chinese Ver.),"Rp 271,660"
"The Medium (Simplified Chinese, English)","Rp 271,660"
DRAGON QUEST BUILDERS：Alefgard wo Fukkatsu Seyo (PS4™) (Chinese Ver.),"Rp 271,660"
Dragon Quest Heroes™: Yamiryuu to Sekaiju no Shiro (Chinese/Korean Ver.),"Rp 271,660"
DRAGON BALL XENOVERSE 2 (English),"Rp 271,660"
"FINAL FANTASY VII REMAKE INTERGRADE (Chinese/Korean Version) (Simplified Chinese, Korean, Traditional Chinese)","Rp 271,660"
"Ghost of Tsushima DIRECTOR’S CUT (PlayStation Plus) (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 271,660"
"Dead by Daylight PS4™ & PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 271,660"
"Chorus (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 271,660"
EARTH DEFENSE FORCE: IRON RAIN (English/Chinese/Korean/Japanese Ver.),"Rp 271,660"
"The Gardens Between (English, Korean, Japanese, Traditional Chinese)","Rp 271,660"
Ghost Recon Breakpoint - Standard Edition (English/Chinese/Korean/Japanese Ver.),"Rp 271,660"
"OMNO (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 271,660"
"Ghost Recon Wildlands - Digital Standard Edition (Simplified Chinese, English, Korean)","Rp 271,660"
"Bugsnax (Simplified Chinese, English, Korean, Japanese)","Rp 271,660"
"My Time at Portia (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 271,660"
"Returnal™ (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 271,660"
"Demon's Souls (Simplified Chinese, English, Korean, Thai, Traditional Chinese)","Rp 271,660"
"Assassin's Creed Chronicles - China (English, Korean, Traditional Chinese)","Rp 271,660"
"Assassin's Creed Chronicles - India (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 271,660"
"Assassin's Creed Chronicles - Russia (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 41,600"
Assassin's Creed® III Remastered - Digital Standard Edition (English/Chinese/Korean/Japanese Ver.),"Rp 41,600"
"DEATHLOOP (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 41,600"
"Assassin's Creed Unity - Digital Standard Edition (English, Korean, Traditional Chinese)","Rp 41,600"
Hohokum™ full game (English Ver.),"Rp 41,600"
"The Crew 2 - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 41,600"
"Control: Ultimate Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 41,600"
"Hollow Knight (Simplified Chinese, English, Korean, Japanese)","Rp 41,600"
"Maneater PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 41,600"
"Horizon Zero Dawn™: Complete Edition PlayStation®Hits (Simplified Chinese, English, Korean)","Rp 41,600"
UNCHARTED 4: A Thief's End™ PlayStation®Hits (Game),"Rp 41,600"
UNCHARTED: The Lost Legacy™ (English/Chinese/Korean Ver.),"Rp 41,600"
Saints Row IV: Re-Elected (English),"Rp 41,600"
Saints Row: Gat out of Hell (English),"Rp 41,600"
"Assassin's Creed Rogue Remastered - Digital Standard Edition (English, Korean, Traditional Chinese)","Rp 41,600"
"Assassin's Creed The Ezio Collection (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 41,600"
"Human: Fall Flat PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 41,600"
Monopoly Plus (English),"Rp 41,600"
Rabbids®Invasion: The interactive TV Show full game (English),"Rp 41,600"
Rayman® Legends - Digital Standard Edition PlayStation®Hits (English),"Rp 41,600"
Scott Pilgrim vs. The World™: The Game – Complete Edition (English),"Rp 41,600"
"The Dark Pictures Anthology: Man of Medan PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 41,600"
Ys VIII -Lacrimosa of DANA- Standard Edition (Chinese Ver.),"Rp 41,600"
FINAL FANTASY X/X-2 HD Remaster (Chinese/Korean Ver.),"Rp 41,600"
SOULCALIBUR VI (English),"Rp 102,000"
"Mortal Shell: Enhanced Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 102,000"
"STEEP - Digital Standard Edition (Simplified Chinese, English, Traditional Chinese)","Rp 102,000"
"Everybody's Golf (English, Korean, Traditional Chinese)","Rp 102,000"
Shadow of the Colossus™ (English/Chinese/Korean Ver.),"Rp 102,000"
FINAL FANTASY XII THE ZODIAC AGE (Chinese/Korean Ver.),"Rp 102,000"
GRAVITY RUSH 2  (Standard Edition) (English/Chinese/Korean Ver.),"Rp 102,000"
Darksiders Genesis (Game),"Rp 102,000"
"Warhammer: Chaosbane Slayer Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 102,000"
"Bloodstained: Ritual of the Night (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 102,000"
WATCH_DOGS™ - Digital Standard Edition PlayStation®Hits (English),"Rp 102,000"
"Terraria – PlayStation®4 Edition (English, Korean)","Rp 102,000"
"Watch Dogs 2 - Digital Standard Edition PlayStation®Hits (Simplified Chinese, English, Korean)","Rp 102,000"
"For Honor - Digital Standard Edition (Simplified Chinese, English, Korean)","Rp 102,000"
"Far Cry 4 - Digital Standard Edition PlayStation®Hits (English, Korean)","Rp 102,000"
Friday the 13th the Game (English/Chinese Ver.),"Rp 102,000"
"Blasphemous (Simplified Chinese, English, Korean, Japanese)","Rp 102,000"
"Far Cry®3 Classic Edition - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 102,000"
"God of War (English, Korean, Traditional Chinese)","Rp 102,000"
"MONOPOLY® Madness (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 102,000"
"Desperados III (Simplified Chinese, English, Korean)","Rp 102,000"
My Friend Pedro (English),"Rp 102,000"
Bloodborne™ PlayStation®Hits (English/Chinese/Korean Ver.),"Rp 102,000"
Wreckfest (Game),"Rp 102,000"
Wreckfest PlayStation®5 Version (English),"Rp 347,400"
MediEvil (English),"Rp 347,400"
Dragon Star Varnir (English Ver.),"Rp 347,400"
